timestep,heat_demand,electricity_demand,PV,COP_AIR-HP,electricity_price_buy,electricity_price_sell
1,4.276882619,0.296708961,0,2.00672623,0.15181709,-0.04876709
2,4.372776848,0.163678592,0,2.003441899,0.113946349,-0.010896349
3,4.545386461,0.150109874,0,2.003441899,0.08897,0.01408
4,4.909784531,0.146124656,0,1.996905383,0.08314,0.01991
5,6.175588356,0.14849681,0,1.983959481,0.08564,0.01741
6,8.918163309,0.177911513,0,1.983959481,0.0805,0.02255
7,11.0086575,0.201538162,0,1.983959481,0.0758,0.02725
8,10.41411328,0.189772281,0,1.980749191,0.07798,0.02507
9,9.972999829,0.50669199,0.014387761,1.968011254,0.08812,0.01493
10,9.416813301,0.4675989,0.084363736,1.983959481,0.08672,0.01633
11,8.879805617,0.441125667,0.599796426,1.996905383,0.08812,0.01493
12,8.611301776,0.449096103,0.684142616,2.013327303,0.093983799,0.009066201
13,8.419513318,0.496064742,0.61328961,2.043577629,0.093299013,0.009750987
14,8.515407547,0.629379769,0.658936639,2.043577629,0.09303,0.01002
15,8.688017159,0.516655035,0.437976546,2.040171667,0.09305,0.01
16,9.014057538,0.397857587,0.070267294,2.026660596,0.09302,0.01003
17,9.28256138,0.399375765,0.002864929,2.023310744,0.097137965,0.005912035
18,9.64695945,0.488284079,0,2.023310744,0.111850489,-0.008800489
19,9.74285368,0.630708175,0,2.016644152,0.093195258,0.009854742
20,9.685317142,0.709938103,0,2.016644152,0.08808,0.01497
21,9.167488305,0.652626874,0,2.019971947,0.08607,0.01698
22,8.055115247,0.514377767,0,2.016644152,0.06812,0.03493
23,5.600222981,0.442833617,0,2.013327303,0.08818,0.01487
24,4.487849923,0.327926501,0,2.016644152,0.06412,0.03893
25,4.276882619,0.221274479,0,2.016644152,0.05948,0.04357
26,4.372776848,0.163678592,0,2.000168301,0.04713,0.05592
27,4.545386461,0.150109874,0,1.993653094,0.04476,0.05829
28,4.909784531,0.150679191,0,1.971180354,0.04806,0.05499
29,6.175588356,0.146978632,0,1.961703526,0.04412,0.05893
30,8.918163309,0.177911513,0,1.952317384,0.06314,0.03991
31,11.0086575,0.341874764,0,1.949208599,0.09304,0.01001
32,10.41411328,0.491130663,0.002904553,1.924690252,0.170721334,-0.067671334
33,9.972999829,0.50669199,0.145698892,1.943020635,0.192779744,-0.089729744
34,9.416813301,0.4675989,0.431161224,1.949208599,0.198341036,-0.095291036
35,8.879805617,0.561156635,0.545533794,1.952317384,0.19176294,-0.08871294
36,8.611301776,0.769621485,0.671662901,1.9585648,0.184230294,-0.081180294
37,8.419513318,0.496064742,0.551979333,1.961703526,0.17806722,-0.07501722
38,8.515407547,0.491415321,0.33814652,1.971180354,0.186326154,-0.083276154
39,8.688017159,0.437804652,0.214249666,1.980749191,0.196058416,-0.093008416
40,9.014057538,0.397857587,0.04859991,1.980749191,0.204421106,-0.101371106
41,9.28256138,0.399375765,0.002885276,1.9585648,0.209276861,-0.106226861
42,9.64695945,0.685077934,0,1.92772126,0.211227464,-0.108177464
43,9.74285368,0.593607695,0,1.912660938,0.221872774,-0.118822774
44,9.685317142,0.709938103,0,1.915654147,0.221935027,-0.118885027
45,9.167488305,0.638488839,0,1.88904784,0.213385577,-0.110335577
46,8.055115247,0.535062946,0,1.871717125,0.208509071,-0.105459071
47,5.600222981,0.442833617,0,1.88904784,0.207450765,-0.104400765
48,4.487849923,0.327926501,0,1.851895613,0.198382538,-0.095332538
49,4.276882619,0.254484629,0,1.832489521,0.182092932,-0.079042932
50,4.372776848,0.213588702,0,1.840756391,0.186886434,-0.083836434
51,4.545386461,0.150109874,0,1.808128508,0.187737229,-0.084687229
52,4.909784531,0.146124656,0,1.813485926,0.184354801,-0.081304801
53,6.175588356,0.14849681,0,1.808128508,0.184105788,-0.081055788
54,8.918163309,0.177911513,0,1.808128508,0.18833901,-0.08528901
55,11.0086575,0.341874764,0,1.805461652,0.199025822,-0.095975822
56,10.41411328,0.311036768,0,1.805461652,0.202553508,-0.099503508
57,9.972999829,0.335991823,0.039367733,1.802802651,0.223553612,-0.120503612
58,9.416813301,0.4675989,0.016881045,1.824296572,0.2176188,-0.1145688
59,8.879805617,0.441125667,0.072787447,1.863170472,0.213800599,-0.110750599
60,8.611301776,0.449096103,0.030059851,1.88904784,0.223761123,-0.120711123
61,8.419513318,0.496064742,0.0791295,1.883235385,0.224860931,-0.121810931
62,8.515407547,0.491415321,0.160509625,1.88904784,0.227247306,-0.124197306
63,8.688017159,0.58241113,0.271876584,1.886137134,0.228430118,-0.125380118
64,9.014057538,0.442548959,0.042611128,1.886137134,0.233659393,-0.130609393
65,9.28256138,0.399375765,0.002880993,1.883235385,0.235008214,-0.131958214
66,9.64695945,0.488284079,0,1.877458589,0.237373839,-0.134323839
67,9.74285368,0.630708175,0,1.88034255,0.232663341,-0.129613341
68,9.685317142,0.709938103,0,1.846309201,0.237187079,-0.134137079
69,9.167488305,0.638488839,0,1.849098187,0.234945961,-0.131895961
70,8.055115247,0.508969257,0,1.851895613,0.221125734,-0.118075734
71,5.600222981,0.435527385,0,1.835236882,0.204524861,-0.101474861
72,4.487849923,0.327926501,0,1.829750374,0.196763953,-0.093713953
73,4.276882619,0.221274479,0,1.818875186,0.198320285,-0.095270285
74,4.372776848,0.163678592,0,1.835236882,0.19080839,-0.08775839
75,4.545386461,0.150109874,0,1.849098187,0.190725386,-0.087675386
76,4.909784531,0.146124656,0,1.843528614,0.190455622,-0.087405622
77,6.175588356,0.14602977,0,1.843528614,0.190580128,-0.087530128
78,8.918163309,0.146599087,0,1.843528614,0.190393368,-0.087343368
79,11.0086575,0.341874764,0,1.827019403,0.195954661,-0.092904661
80,10.41411328,0.491130663,0,1.824296572,0.207845036,-0.104795036
81,9.972999829,0.50669199,0.0115265,1.837992492,0.208799586,-0.105749586
82,9.416813301,0.4675989,0.028363366,1.860338906,0.208260058,-0.105210058
83,8.879805617,0.441125667,0.028764641,1.891967543,0.207658276,-0.104608276
84,8.611301776,0.588294071,0.023008341,1.906702492,0.204234346,-0.101184346
85,8.419513318,0.784518609,0.011483663,1.943020635,0.200416145,-0.097366145
86,8.515407547,0.491415321,0.034059989,1.939941363,0.20012563,-0.09707563
87,8.688017159,0.437804652,0.028282726,1.92772126,0.199731359,-0.096681359
88,9.014057538,0.397857587,0.011303748,1.924690252,0.20031239,-0.09726239
89,9.28256138,0.399375765,0,1.906702492,0.202179988,-0.099129988
90,9.64695945,0.488284079,0,1.906702492,0.206475464,-0.103425464
91,9.74285368,0.794766312,0,1.897834109,0.205313403,-0.102263403
92,9.685317142,0.669042176,0,1.897834109,0.200727412,-0.097677412
93,9.167488305,0.638488839,0,1.897834109,0.189708582,-0.086658582
94,8.055115247,0.535062946,0,1.90373717,0.187322207,-0.084272207
95,5.600222981,0.442833617,0,1.90373717,0.184271796,-0.081221796
96,4.487849923,0.327926501,0,1.900781056,0.158229177,-0.055179177
97,4.236816639,0.221274479,0,1.900781056,0.148870435,-0.045820435
98,4.331812527,0.200779073,0,1.897834109,0.145176741,-0.042126741
99,4.502805127,0.171079711,0,1.906702492,0.143101632,-0.040051632
100,4.863789504,0.146124656,0,1.906702492,0.138785405,-0.035735405
101,6.117735236,0.14849681,0,1.906702492,0.131169754,-0.028119754
102,8.834617655,0.177911513,0,1.900781056,0.13888916,-0.03583916
103,10.90552803,0.341874764,0,1.900781056,0.141503798,-0.038453798
104,10.31655352,0.491130663,0.002868142,1.874583461,0.152730138,-0.049680138
105,9.879572431,0.45431484,0.150757905,1.871717125,0.169061247,-0.066011247
106,9.328596276,0.525669218,0.455521377,1.871717125,0.177008915,-0.073958915
107,8.796619299,0.441125667,0.560072838,1.88034255,0.188193753,-0.085143753
108,8.53063081,0.449096103,0.248974515,1.877458589,0.196390434,-0.093340434
109,8.340639033,0.496064742,0.150072175,1.883235385,0.199627604,-0.096577604
110,8.435634922,0.491415321,0.122214788,1.886137134,0.200416145,-0.097366145
111,8.606627521,0.437804652,0.064448246,1.891967543,0.200789665,-0.097739665
112,8.929613543,0.545690194,0.02248573,1.897834109,0.203487307,-0.100437307
113,9.195602032,0.404974047,0.006673508,1.900781056,0.210542678,-0.107492678
114,9.556586409,0.488284079,0,1.912660938,0.211165211,-0.108115211
115,9.651582298,0.630708175,0,1.915654147,0.220959726,-0.117909726
116,9.594584765,0.709938103,0,1.91865674,0.216394485,-0.113344485
117,9.081606965,0.638488839,0,1.924690252,0.202512006,-0.099462006
118,7.979654656,0.535062946,0,1.92772126,0.200748163,-0.097698163
119,5.547759903,0.464942088,0,1.92772126,0.199669106,-0.096619106
120,4.445807594,0.321189585,0,1.936871835,0.196722451,-0.093672451
121,4.022918645,0.221274479,0,1.939941363,0.197407237,-0.094357237
