,electricity,electricity,"('internal_bus', 'My_DSO')","('internal_bus', 'My_DSO')","('feedin_converter', 'My_DSO')",My_DSO,"('consumption_source', 'My_DSO')",wind,pv
,My_DSO,demand_el,"('feedin_sink', 'My_DSO')","('consumption_converter', 'My_DSO')","('internal_bus', 'My_DSO')",electricity,"('internal_bus', 'My_DSO')",electricity,electricity
index,,,,,,,,,
2024-01-01 00:00:00,1.2293794,0.6137606201,1.2293794,0.0,1.2293794,0.0,0.0,1.8431400000000002,0.0
2024-01-01 01:00:00,1.2492694,0.6137606201,1.2492694,0.0,1.2492694,0.0,0.0,1.8630300000000002,0.0
2024-01-01 02:00:00,1.3187295,0.5575605123,1.3187295,0.0,1.3187295,0.0,0.0,1.8762899999999998,0.0
2024-01-01 03:00:00,1.3445515,0.5317384943,1.3445515,0.0,1.3445515,0.0,0.0,1.8762899999999998,0.0
2024-01-01 04:00:00,1.1508801,0.5198798737,1.1508801,0.0,1.1508801,0.0,0.0,1.67076,0.0
2024-01-01 05:00:00,0.7343864,0.4987936035,0.7343864,0.0,0.7343864,0.0,0.0,1.23318,0.0
2024-01-01 06:00:00,0.77350444,0.4596755564,0.77350444,0.0,0.77350444,0.0,0.0,1.23318,0.0
2024-01-01 07:00:00,0.77023695,0.456313047,0.77023695,0.0,0.77023695,0.0,0.0,1.22655,0.0
2024-01-01 08:00:00,0.80665048,0.4653995226,0.80665048,0.0,0.80665048,0.0,0.0,1.22655,0.0455
2024-01-01 09:00:00,0.91355526,0.4949947381,0.91355526,0.0,0.91355526,0.0,0.0,1.22655,0.182
2024-01-01 10:00:00,3.1661247,0.5271952566,3.1661247,0.0,3.1661247,0.0,0.0,3.40782,0.2855
2024-01-01 11:00:00,3.22098,0.5673400241,3.22098,0.0,3.22098,0.0,0.0,3.40782,0.3805
2024-01-01 12:00:00,2.9957737,0.5789162966,2.9957737,0.0,2.9957737,0.0,0.0,3.40119,0.17350000000000002
2024-01-01 13:00:00,3.8984216,0.5674683642,3.8984216,0.0,3.8984216,0.0,0.0,4.32939,0.1365
